,State,City,place,type,time needed to visit in hrs,ratings,Entrance Fee in INR,Weekly Off,Best Time to visit
0,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,None,Evening
1,Delhi,Delhi,Humayun's Tomb,Tomb,2,4.5,30,None,Afternoon
2,Delhi,Delhi,Akshardham Temple,Temple,5,4.6,60,None,Afternoon
3,Delhi,Delhi,Waste to Wonder Park,Theme Park,2,4.1,50,Monday,Evening
4,Delhi,Delhi,Jantar Mantar,Observatory,2,4.2,15,None,Morning
5,Delhi,Delhi,Chandni Chowk,Market,3,4.2,0,Sunday,Afternoon
6,Delhi,Delhi,Lotus Temple,Temple,1,4.5,0,Monday,Evening
7,Delhi,Delhi,Red Fort,Fort,2,4.5,35,None,Afternoon
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1,4.2,0,None,Afternoon
9,Delhi,Delhi,Sunder Nursery,Park,2,4.6,0,None,Afternoon
10,Delhi,Delhi,Garden of Five Senses,Park,2,4.1,35,None,Morning
11,Delhi,Delhi,Lodhi Garden,Park,1,4.5,0,None,All
12,Delhi,Delhi,National Gallery of Modern Art,Museum,3,4.5,20,Monday,All
13,Delhi,Delhi,National Zoological Park ,Zoo,3,4.1,80,Friday,All
14,Delhi,Delhi,Qutub Minar,Monument,1,4.5,35,None,Afternoon
15,Delhi,Delhi,National Science Centre,Science,5,4.4,70,None,All
16,Maharastra,Mumbai,Marine Drive,Promenade,2,4.5,0,None,Evening
17,Maharastra,Mumbai,Gateway of India,Monument,1,4.6,0,None,All
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1,4.6,500,None,All
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3,4.3,50,Monday,All
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2,4.8,0,None,All
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1,4.7,0,None,All
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2,4.4,0,None,All
23,Maharastra,Mumbai,Chowpatty Beach,Beach,2,4.3,0,None,Evening
